platform,url,id,name,price,category,crawl_time
lazada,https://www.lazada.vn/products/pdp-i2508460938.html,2508460938,Galaxy S23 Ultra nhà kho giá rẻ thanh toán 5G bản gốc 16GB RAM+512GB ROM máy ảnh hd máy ảnh thẻ đôi điện thoại thông minh điện thoại thanh toán giao hàng,0,smartphones,2025-10-21T02:19:03.457402
lazada,https://www.lazada.vn/products/pdp-i2437150867.html,2437150867,Điện thoại Samsung J7prime sóng 4G 2sim.Loa to sóng khỏe. BẢO HÀNH 6 THÁNG. 1 ĐỔI 1 TRONG 2 THÁNG,0,smartphones,2025-10-21T02:19:03.803415
lazada,https://www.lazada.vn/products/pdp-i2979360925.html,2979360925,NEW S24 Ultra điện thoại di động 7.3 inch Android đt 3G/4G/5G giá rẻ 8GB/256GB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Dấu vân tay GPS Face ID,0,smartphones,2025-10-21T02:19:04.150385
lazada,https://www.lazada.vn/products/pdp-i3217960147.html,3217960147,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",0,smartphones,2025-10-21T02:19:04.496050
lazada,https://www.lazada.vn/products/pdp-i3219978528.html,3219978528,"Điện thoại DOOGEE S200X bền bỉ (Ram 32G,Rom 512GB,màn hình 6 72 inch 120Hz ,Android 14 Pin 10100mAh 33W) có NFC",0,smartphones,2025-10-21T02:19:04.882900
lazada,https://www.lazada.vn/products/pdp-i3219989427.html,3219989427,Điện thoại Blackview BV9300 Pro (12/256) Chính Hãng Mới 100% Nguyên Seal - màn hình 6.7 Pin 15.080 mah Chống nước chống va đập,0,smartphones,2025-10-21T02:19:05.226353
lazada,https://www.lazada.vn/products/pdp-i2575033456.html,2575033456,Smartphone S23 Giá Cực Rẻ Chính Hãng Murah Màn Hình Full HD Điện Thoại 7.3 Inch Bộ Nhớ Lớn 8+512GB Dual SIM Camera 32+64MP Pin 6800MAh,0,smartphones,2025-10-21T02:19:05.565463
lazada,https://www.lazada.vn/products/pdp-i3217015597.html,3217015597,điện thoại 0PP0 A93s 5G (8GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng có NFC,0,smartphones,2025-10-21T02:19:05.948677
lazada,https://www.lazada.vn/products/pdp-i3139382615.html,3139382615,điện thoại SS.A10s 2sim ram 3G bộ nhớ trong 32GB nguyên zin đẹp keng,0,smartphones,2025-10-21T02:19:06.317061
lazada,https://www.lazada.vn/products/pdp-i2634033513.html,2634033513,6840 iC 11Series,0,smartphones,2025-10-21T02:19:06.643274
lazada,https://www.lazada.vn/products/pdp-i3216087686.html,3216087686,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",0,smartphones,2025-10-21T02:19:07.513471
lazada,https://www.lazada.vn/products/pdp-i3216098924.html,3216098924,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",0,smartphones,2025-10-21T02:19:07.866440
lazada,https://www.lazada.vn/products/pdp-i3216102940.html,3216102940,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",0,smartphones,2025-10-21T02:19:08.218252
lazada,https://www.lazada.vn/products/pdp-i1958185735.html,1958185735,xác điện thoại Samsung A600,0,smartphones,2025-10-21T02:19:08.580360
lazada,https://www.lazada.vn/products/pdp-i3216102906.html,3216102906,Điện thoại realme C71  RAM 6GB ROM 128GB hàng chính hãng mới 100% bảo hành 12 thàng,0,smartphones,2025-10-21T02:19:08.920514
lazada,https://www.lazada.vn/products/pdp-i3219971657.html,3219971657,"Điện thoại siêu bền Blackview BV8900 ( Android 13, Màn hình 6,5 inch Ram16GB ,Rom 256GB , Bảo hành 1 năm có NFC )",0,smartphones,2025-10-21T02:19:09.262818
lazada,https://www.lazada.vn/products/pdp-i3216117632.html,3216117632,"Điện thoại xia0mi. Mi 13 Utra 912gb/256gb) Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",0,smartphones,2025-10-21T02:19:09.601101
