category,title,url,price
smartphones,"Điện thoại thông minh POCO C75 (6+128GB | 8+256GB) | Màn hình 6,88"" | Pin 5160mAh | Camera kép 50MP AI",https://www.lazada.vn/products/pdp-i3218897360.html,2.840.000 ₫
smartphones,"Điện thoại thông minh REDMI Note 14 Pro+ 5G (8+256GB) | Màn hình 6.67"" | Snap 7S Gen 3 | Camera AI 200MP",https://www.lazada.vn/products/pdp-i3216375050.html,8.720.000 ₫
smartphones,iPhone 17 Pro Max - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/pdp-i3179765981.html,39.990.000 ₫
smartphones,"Điện thoại bền chắc Oukitel WP22 (HĐH Android 13 Pin 10000mAh, 8GB + 256GB, Helio P90 Camera 48MP, Màn hình 6,58 inch)",https://www.lazada.vn/products/pdp-i3226971018.html,693.000 ₫
smartphones,"Điện thoại siêu phẩm mi Mi 15 Utra Cấu hình mạnh, cày game nặng siêu mượt (16+512GB) | Màn hình 6.73 bảo hành 12 tháng",https://www.lazada.vn/products/pdp-i3226959032.html,1.050.000 ₫
smartphones,iPhone 16 Pro Max - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/pdp-i2792189799.html,32.290.000 ₫
smartphones,iPhone 15 - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/pdp-i2417259469.html,16.390.000 ₫
smartphones,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",https://www.lazada.vn/products/pdp-i3226761810.html,574.000 ₫
smartphones,"Điện thoại SS 24ut máy 2sim mới 100% ram 12G/512G Hàng Chính Hãng, bảo hành 12 tháng",https://www.lazada.vn/products/pdp-i3226447952.html,840.000 ₫
smartphones,"Điện thoại siêu phẩm SS_ A55 5G (8Gb/128GB)-hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng.trên toàn quốc",https://www.lazada.vn/products/pdp-i3226965025.html,665.000 ₫
smartphones,"Điện thoại siêu phẩm mi Mi 15 Utra Cấu hình mạnh, cày game nặng siêu mượt (16+512GB) | Màn hình 6.73 bảo hành 12 tháng",https://www.lazada.vn/products/pdp-i3226426938.html,1.050.000 ₫
smartphones,"Điện thoại giá rẻ Samsung Galaxy A71 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, - BM1",https://www.lazada.vn/products/pdp-i3229148138.html,298.000 ₫
smartphones,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",https://www.lazada.vn/products/pdp-i3226945057.html,490.000 ₫
smartphones,"Điện Thoại Sony Xperia XZ2 Compact, Chip Snapdragon 845, Ram 4/64GB. SonPixel",https://www.lazada.vn/products/pdp-i2604813299.html,1.743.000 ₫
smartphones,"Điện Thoại Thông Minh 5S quốc tế, kèm sạc, bảo hành 3 tháng",https://www.lazada.vn/products/pdp-i3217465970.html,450.000 ₫
smartphones,"Điện thoại chắc chắn Ulefone Armor 27T Pro 5G( 24GB/256GB) Pin 10600mAh, Android 14 ,màn hình 6,78 bảo hành 1 năm có NFC",https://www.lazada.vn/products/pdp-i3226620802.html,839.300 ₫
smartphones,Điện thoại di động Siêu CPU Đt Camera 108/72MP điện thoại giá siêu rẻ Android Giao hàng nhận tiền Cấu hình mạnh đỉnh Điện thoại phổ thông Pin trâu 8000mAh gaming phone Hỗ trợ 4G/5G đien thoại giá rẻ nhất Hàng mới về Cellphones,https://www.lazada.vn/products/pdp-i3020546831.html,1.204.960 ₫
smartphones,điện thoại SS.A10s 2sim ram 3G bộ nhớ trong 32GB nguyên zin đẹp keng,https://www.lazada.vn/products/pdp-i3139382615.html,699.000 ₫
smartphones,"Điện thoại giá rẻ chữa cháy giá rẻ cho học sinh ,sinh viên , Samsung Galaxy J7 Prime 2sim ram 2G/16G Chính Hãng, Bảo hành 12 Tháng, Cảm ứng mượt lướt Wed Zalo FB Youtube chất",https://www.lazada.vn/products/pdp-i2862520896.html,568.000 ₫
smartphones,"Điện thoại giá rẻ Samsung Galaxy A71 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, - BM1SS",https://www.lazada.vn/products/pdp-i2858697503.html,298.000 ₫
smartphones,"Điện thoại 6300 4G ,Màn hình 2.4inch,pin 1500mAh - Mới Fullbox",https://www.lazada.vn/products/pdp-i3087532746.html,399.000 ₫
smartphones,"[ RẺ HỦY DIỆT ] điện thoại 4G Samsung Galaxy Note 9 ram 6G/128G Chính Hãng, Chiến Game mượt, Chụp ảnh siêu đẹp - Máy đủ máu, MYSS",https://www.lazada.vn/products/pdp-i2890895031.html,298.000 ₫
smartphones,"[SALE BRAND DAY - TỪ 20H 30.10] [KIỂM TRA GIỎ HÀNG] Điện thoại Samsung Galaxy S25 Ultra (256GB | 512GB), Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, S Pen đa nhiệm",https://www.lazada.vn/products/pdp-i2978129024.html,31.990.000 ₫
smartphones,iPhone 14 - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/pdp-i2018265056.html,13.290.000 ₫
smartphones,Điện thoại Mướt Game Bộ nhớ 16+512GB Điện thoại di động Cấu hình mạnh đỉnh giá bán rẻ Sạc nhanh đt giá rẻ cho hs Android Chính Hãng điện thoại giá rẻ,https://www.lazada.vn/products/pdp-i3082229188.html,1.117.383 ₫
smartphones,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng có NFC",https://www.lazada.vn/products/pdp-i3229733014.html,700.000 ₫
smartphones,Điện thoại Xiaomi Mi 11 Lite 5G Ram 8GB bộ nhớ 128GB chính hãng full chức năng_MBMS,https://www.lazada.vn/products/pdp-i2880131373.html,298.000 ₫
smartphones,Điện Thoại Nokia 206 ( 2 sim 2 sóng ),https://www.lazada.vn/products/pdp-i275978714.html,950.000 ₫
smartphones,"[SALE SỐC] điện thoại Y56 5G ram 8G/256G 2sim màn hình to, Camera siêu đẹp, cấu hình khủng, Cày Game nặng siêu mượt mà- BN",https://www.lazada.vn/products/pdp-i3008603977.html,299.000 ₫
smartphones,"Điện thoại máy chiếu Unihertz Tank 4 Pro 5G Ram 36gb Rom 1TB, Android 14,pin 11600mAh, màn hình 6.73 sản xuất 2025 hàng chính hãng",https://www.lazada.vn/products/pdp-i3226482884.html,1.050.000 ₫
laptops,"CHUWI | Máy Tính Xách Tay Gaming Mỏng Nhẹ Hiệu Suất Cao Intel Core Thế Hệ 12, 6 Nhân 8 Luồng, 14 inch 2K",https://www.lazada.vn/products/pdp-i3197230140.html,9.469.000 ₫
laptops,laptop i3 siêu đẹp,https://www.lazada.vn/products/pdp-i1160774992.html,1.299.999 ₫
laptops,Laptop Lenovo ThinkBook 16 G8 IRL 21SH0093VA | Core 5 210H | 16GB | 512GSSD | 16″ WUXGA | NoOS | Arctic Grey | Hàng chính hãng,https://www.lazada.vn/products/pdp-i3187380521.html,19.999.000 ₫
laptops,MacBook Air 2020 13.3 inches M1- Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i1040858590.html,18.390.000 ₫
laptops,Laptop bỏ túi Onemix GPD 7 inch ram 8GB chip lõi tứ màn hình cảm ứng cực kỳ nhỏ gọn,https://www.lazada.vn/products/pdp-i2138708138.html,6.970.000 ₫
laptops,Máy Tính Xách Tay Laptop Samsung Galaxy Chromebook Go XE310XDA N4500/4GB/32GB/ChromeOS - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2835015376.html,4.990.000 ₫
laptops,Microsoft Surface Laptop 2 13.5 inch Nhập Khẩu Mỹ/ 2K cảm ứng - Intel Core I5/I7 RAM 8GB/16GB SSD 128/256/512GB Tặng kèm sạc theo máy Chính hãng,https://www.lazada.vn/products/pdp-i2262675911.html,8.090.000 ₫
laptops,Laptop Dell Latitude 7270 CPU I5 Gen 6 Ram 8Gb SSD 256Gb Màn hình 12.5Inch HD BH Dài Hạn,https://www.lazada.vn/products/pdp-i2968549891.html,250.000 ₫
laptops,laptop toshiba z35 cực mạnh - i5 6200U U Ram 16GB SSD 256G,https://www.lazada.vn/products/pdp-i2590786738.html,2.900.000 ₫
laptops,laptop đời cao i5 ko lên nguồn,https://www.lazada.vn/products/pdp-i3058707851.html,399.999 ₫
laptops,"Xương Máy tính Laptop Thinkpad X1 Cacbon Gen 8 Core i5 8250U, Ram 8, SSD 256, 14inch Full HD",https://www.lazada.vn/products/pdp-i2010022637.html,2.000 ₫
laptops,Laptop Dell Latitude E5280 màn 12.5 inch - Core i5 7300u 8G 256G SSD,https://www.lazada.vn/products/pdp-i2479684785.html,3.588.000 ₫
laptops,"Laptop Asus X44H core i3 - thanh lý - giải trí, văn phòng",https://www.lazada.vn/products/pdp-i3190757292.html,1.200.000 ₫
laptops,Laptop Xách Tay 4G Core i5 BH 9/2025,https://www.lazada.vn/products/pdp-i2784809259.html,2.000.000 ₫
laptops,MacBook Air M2 13-inch 16GB/256GB - Hàng Chính Hãng,https://www.lazada.vn/products/pdp-i2874118214.html,22.190.000 ₫
laptops,"Máy tính Laptop Dell Laititude 7490 Core i5, Ram 8, SSD 256, 14inch Full HD",https://www.lazada.vn/products/pdp-i2010015724.html,5.300.000 ₫
laptops,"Laptop 2 trong 1 kiêm máy tính bảng Fujitsu Arrows Q507 Atom X5-Z8550, 4gb Ram 128gb SSD, màn 10.1inch Full HD cảm ứng",https://www.lazada.vn/products/pdp-i1070358366.html,1.350.000 ₫
