title,price,link,image,rating,timestamp
"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",700.000 ₫,https://www.lazada.vn/products/pdp-i3217960147.html,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
Điện thoại Samsung J7prime sóng 4G 2sim.Loa to sóng khỏe. BẢO HÀNH 6 THÁNG. 1 ĐỔI 1 TRONG 2 THÁNG,395.000 ₫,https://www.lazada.vn/products/pdp-i2437150867.html,https://img.lazcdn.com/g/p/c507a864b97053b85f32ab3e3515db96.jpg_200x200q80.avif,(11),2025-10-21 11:36:01
điện thoại 0PP0 A93s 5G (8GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng có NFC,700.000 ₫,https://www.lazada.vn/products/pdp-i3217015597.html,https://img.lazcdn.com/g/p/3300a8b7b35760c8ade39755f30469db.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
điện thoại SS.A10s 2sim ram 3G bộ nhớ trong 32GB nguyên zin đẹp keng,699.000 ₫,https://www.lazada.vn/products/pdp-i3139382615.html,https://img.lazcdn.com/g/p/8e51a053de362c17a98963be8200a5f3.jpg_200x200q80.avif,(37),2025-10-21 11:36:01
6840 iC 11Series,60.000 ₫,https://www.lazada.vn/products/pdp-i2634033513.html,https://img.lazcdn.com/g/ff/kf/S2d32b4c7e31d4b449ace24fc5f0c8b3aw.png_200x200q80.avif,No rating,2025-10-21 11:36:01
"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",574.000 ₫,https://www.lazada.vn/products/pdp-i3216087686.html,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",490.000 ₫,https://www.lazada.vn/products/pdp-i3216098924.html,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",560.000 ₫,https://www.lazada.vn/products/pdp-i3216102940.html,https://img.lazcdn.com/g/p/8e7c9fdb8de580d820255bf4dcede2e1.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
xác điện thoại Samsung A600,240.000 ₫,https://www.lazada.vn/products/pdp-i1958185735.html,https://img.lazcdn.com/g/ff/kf/S93d2d5ebdf1a4dd394003f3df36b5c4aX.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
"Điện thoại xia0mi. Mi 13 Utra 912gb/256gb) Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",840.000 ₫,https://www.lazada.vn/products/pdp-i3216117632.html,https://img.lazcdn.com/g/p/96355c2e9e31e87d7cc6ac87f7b3587c.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
điện thoại 0PP0 A57 (128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng có NFC,730.000 ₫,https://www.lazada.vn/products/pdp-i3217079008.html,https://img.lazcdn.com/g/p/857100c619ff722fa2778d31fb3f04a4.jpg_200x200q80.avif,No rating,2025-10-21 11:36:01
"[SALE GIÁ RẺ SỐC] Điện thoại Samsung Galaxy A71 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, SSBM2",298.000 ₫,https://www.lazada.vn/products/pdp-i2948525081.html,https://img.lazcdn.com/g/p/e1ffde343f03629eb9c7579cc40bde67.jpg_200x200q80.avif,(44),2025-10-21 11:36:01
