url,product_id,name,price,original_price,discount_percent,rating,review_count,sold_count,images,brand,seller_name,seller_rating,description,key_features,specifications,availability,shipping_info,location,category,subcategory,crawl_timestamp,platform
https://www.lazada.vn/products/pdp-i2508460938.html,3ae59017-1bae-408e-8bc0-2d6337765d05,Galaxy S23 Ultra nhà kho giá rẻ thanh toán 5G bản gốc 16GB RAM+512GB ROM máy ảnh hd máy ảnh thẻ đôi điện thoại thông minh điện thoại thanh toán giao hàng,0.0,,,,,,['https://img.lazcdn.com/g/p/e929322b2a7a8b9cafc2ccbd8a429981.png_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:47.648714,lazada_vn
https://www.lazada.vn/products/pdp-i2437150867.html,7ed89ba3-e016-4e26-9466-e70942ceeb18,Điện thoại Samsung J7prime sóng 4G 2sim.Loa to sóng khỏe. BẢO HÀNH 6 THÁNG. 1 ĐỔI 1 TRONG 2 THÁNG,0.0,,,,,,['https://img.lazcdn.com/g/p/c507a864b97053b85f32ab3e3515db96.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:47.740431,lazada_vn
https://www.lazada.vn/products/pdp-i2979360925.html,67951785-064a-4c9d-9fd7-103cae11f4dd,NEW S24 Ultra điện thoại di động 7.3 inch Android đt 3G/4G/5G giá rẻ 8GB/256GB HD Toàn màn hình điện thoại rẻ cho học sinh Hai SIM Với bút Dấu vân tay GPS Face ID,0.0,,,,,,['https://img.lazcdn.com/g/p/97a69361cbe8cc94ebe79ee2e322ccd8.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:47.847402,lazada_vn
https://www.lazada.vn/products/pdp-i3217960147.html,29b61942-60a7-4946-812e-a9a195a6743e,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",0.0,,,,,,['https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:47.964772,lazada_vn
https://www.lazada.vn/products/pdp-i3219978528.html,595b6bf6-8211-4c20-af54-39e5fb5a20aa,"Điện thoại DOOGEE S200X bền bỉ (Ram 32G,Rom 512GB,màn hình 6 72 inch 120Hz ,Android 14 Pin 10100mAh 33W) có NFC",0.0,,,,,,['https://img.lazcdn.com/g/p/58f627339984a4578fba0fc698f65c37.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:48.099264,lazada_vn
https://www.lazada.vn/products/pdp-i3219989427.html,ee3425d7-23af-4547-8821-013b6aa9cdf7,Điện thoại Blackview BV9300 Pro (12/256) Chính Hãng Mới 100% Nguyên Seal - màn hình 6.7 Pin 15.080 mah Chống nước chống va đập,0.0,,,,,,['https://img.lazcdn.com/g/p/f0dba3b1bc948e221efd234d86c34265.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:48.231093,lazada_vn
https://www.lazada.vn/products/pdp-i2575033456.html,cadf3cac-52eb-4b4a-9397-603d829f1ee3,Smartphone S23 Giá Cực Rẻ Chính Hãng Murah Màn Hình Full HD Điện Thoại 7.3 Inch Bộ Nhớ Lớn 8+512GB Dual SIM Camera 32+64MP Pin 6800MAh,0.0,,,,,,['https://img.lazcdn.com/g/p/7e6c6b7ae702c76feb9ee7afeccc0135.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:48.361895,lazada_vn
https://www.lazada.vn/products/pdp-i3217015597.html,7ef74a7a-21b2-4e18-94b8-72c6f8b0861d,điện thoại 0PP0 A93s 5G (8GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng có NFC,0.0,,,,,,['https://img.lazcdn.com/g/p/3300a8b7b35760c8ade39755f30469db.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:48.472619,lazada_vn
https://www.lazada.vn/products/pdp-i3139382615.html,e0ece50a-bea4-412d-8c63-db473bd0d5bd,điện thoại SS.A10s 2sim ram 3G bộ nhớ trong 32GB nguyên zin đẹp keng,0.0,,,,,,['https://img.lazcdn.com/g/p/8e51a053de362c17a98963be8200a5f3.jpg_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:48.592094,lazada_vn
https://www.lazada.vn/products/pdp-i2634033513.html,9dab1467-949f-4d67-bbc5-f7b99b758ea1,6840 iC 11Series,0.0,,,,,,['https://img.lazcdn.com/g/ff/kf/S2d32b4c7e31d4b449ace24fc5f0c8b3aw.png_200x200q80.avif'],,,,,[],{},True,{},,Điện Thoại Di Động,,2025-10-20 22:30:48.711982,lazada_vn
