product_id,name,price,original_price,discount_percent,category,brand,rating,review_count,seller,description,images,specifications,availability,shipping_info,platform,crawl_timestamp,url
LAZADA_1dfd814c,BKAV Product 4973,722000.0,,,phones-tablets,BKAV,4.5,713,Shop FPT,"Sản phẩm Product 4973 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_a44f5e16.jpg'],"{'brand': 'BKAV', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Hà Nội'}",lazada,2025-10-01 21:18:01.710968,https://lazada.com/product/bb3dd1df
LAZADA_8b6ef3ea,Realme Product 2866,3002000.0,4357000.0,31.1,phones-tablets,Realme,3.9,605,Shop Chính hãng,"Sản phẩm Product 2866 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_a60a262d.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Đà Nẵng'}",lazada,2025-10-01 21:18:01.825667,https://lazada.com/product/d7833dd2
LAZADA_08d835f6,VinSmart Product 3493,2082000.0,2991000.0,30.4,phones-tablets,VinSmart,4.5,1361,Shop Uy tín,"Sản phẩm Product 3493 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_e261d7cb.jpg'],"{'brand': 'VinSmart', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'Đà Nẵng'}",lazada,2025-10-01 21:18:01.928447,https://lazada.com/product/84959ff3
LAZADA_13b9fc17,Samsung Product 5827,3966000.0,,,phones-tablets,Samsung,4.0,1225,Shop FPT,"Sản phẩm Product 5827 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_9c73700f.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Đà Nẵng'}",lazada,2025-10-01 21:18:02.036578,https://lazada.com/product/4bc98e73
LAZADA_67613612,Realme Product 3050,1441000.0,,,phones-tablets,Realme,3.5,1765,Shop CellphoneS,"Sản phẩm Product 3050 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_a101cba5.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Xanh'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Đà Nẵng'}",lazada,2025-10-01 21:18:02.137589,https://lazada.com/product/859c9fca
LAZADA_1999f35f,FPT Product 8649,1307000.0,1838000.0,28.9,phones-tablets,FPT,4.9,1727,Shop Chính hãng,"Sản phẩm Product 8649 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_fe71606e.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Đỏ'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",lazada,2025-10-01 21:18:02.243173,https://lazada.com/product/08ccceef
LAZADA_a0b35ba6,FPT Product 3827,15843000.0,18259000.0,13.2,phones-tablets,FPT,3.7,1952,Shop Uy tín,"Sản phẩm Product 3827 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_8ba8aa9b.jpg'],"{'brand': 'FPT', 'warranty': '12 tháng', 'origin': 'Việt Nam', 'color': 'Trắng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'TP.HCM'}",lazada,2025-10-01 21:18:02.352912,https://lazada.com/product/4723aabe
LAZADA_8c6e4ef0,Vivo Product 8803,13348000.0,,,phones-tablets,Vivo,4.3,1631,Shop FPT,"Sản phẩm Product 8803 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_edf59817.jpg'],"{'brand': 'Vivo', 'warranty': '12 tháng', 'origin': 'Chính hãng', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': False, 'location': 'Hà Nội'}",lazada,2025-10-01 21:18:02.453676,https://lazada.com/product/48500245
LAZADA_419667d7,Samsung Product 6083,8867000.0,9914000.0,10.6,phones-tablets,Samsung,4.4,1078,Shop Uy tín,"Sản phẩm Product 6083 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_6908db62.jpg'],"{'brand': 'Samsung', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Vàng'}",True,"{'free_shipping': False, 'fast_delivery': True, 'location': 'Hà Nội'}",lazada,2025-10-01 21:18:02.554365,https://lazada.com/product/e0f99926
LAZADA_2e0fa933,Realme Product 2763,8646000.0,,,phones-tablets,Realme,4.8,1727,Shop Chính hãng,"Sản phẩm Product 2763 chính hãng, bảo hành 12 tháng",['https://lazada.com/images/product_34474197.jpg'],"{'brand': 'Realme', 'warranty': '12 tháng', 'origin': 'Import', 'color': 'Vàng'}",True,"{'free_shipping': True, 'fast_delivery': True, 'location': 'Hà Nội'}",lazada,2025-10-01 21:18:02.656830,https://lazada.com/product/72d96c19
