transaction_id,order_id,customer_id,transaction_date,transaction_type,amount_usd,amount_vnd,currency,payment_method,payment_status,platform,region,customer_segment,created_at
TXN_4a5e06c6,VN_ORDER_000001,VN_CUST_001018,2024-11-06 19:06:24,purchase,1262.47,30299280.0,USD,Bank_Transfer,Paid,Lazada,South,Regular,2025-10-01T21:32:54.888535
TXN_6ef04a43,VN_ORDER_000001,VN_CUST_001018,2024-11-06 19:06:24,shipping,0.0,0.0,USD,Bank_Transfer,Paid,Lazada,South,Regular,2025-10-01T21:32:54.888535
TXN_4e5b47cf,VN_ORDER_000002,VN_CUST_000658,2025-04-13 19:06:24,purchase,3750.04,90001034.0,USD,E_Wallet_MoMo,Paid,Shopee,Central,Regular,2025-10-01T21:32:54.888629
TXN_928e0113,VN_ORDER_000002,VN_CUST_000658,2025-04-13 19:06:24,shipping,0.0,0.0,USD,E_Wallet_MoMo,Paid,Shopee,Central,Regular,2025-10-01T21:32:54.888629
TXN_b362b8aa,VN_ORDER_000002,VN_CUST_000658,2025-04-13 19:06:24,discount,-405.34,-9728160.0,USD,E_Wallet_MoMo,Paid,Shopee,Central,Regular,2025-10-01T21:32:54.888629
TXN_1f47126d,VN_ORDER_000003,VN_CUST_001993,2024-12-03 19:06:24,purchase,536.9,12885589.0,USD,E_Wallet_MoMo,Paid,Tiki,North,Regular,2025-10-01T21:32:54.888787
TXN_3845b455,VN_ORDER_000003,VN_CUST_001993,2024-12-03 19:06:24,discount,-37.63,-903120.0000000001,USD,E_Wallet_MoMo,Paid,Tiki,North,Regular,2025-10-01T21:32:54.888787
TXN_9b428bc9,VN_ORDER_000004,VN_CUST_004447,2025-08-11 19:06:24,purchase,366.96,8807087.0,USD,E_Wallet_ZaloPay,Paid,Shopee,North,Regular,2025-10-01T21:32:54.888859
TXN_6f402e0e,VN_ORDER_000004,VN_CUST_004447,2025-08-11 19:06:24,discount,-53.68,-1288320.0,USD,E_Wallet_ZaloPay,Paid,Shopee,North,Regular,2025-10-01T21:32:54.888859
TXN_ef3eb693,VN_ORDER_000005,VN_CUST_002980,2025-01-01 19:06:24,purchase,377.04,9048864.0,USD,Bank_Transfer,Paid,Lazada,North,Premium,2025-10-01T21:32:54.888911
TXN_7599ca41,VN_ORDER_000006,VN_CUST_003470,2025-04-24 19:06:24,purchase,525.47,12611280.0,USD,COD,Paid,Shopee,North,High_Value,2025-10-01T21:32:54.888955
TXN_28591966,VN_ORDER_000007,VN_CUST_000594,2024-12-21 19:06:24,purchase,545.28,13086744.0,USD,Bank_Transfer,Failed,Sendo,South,Regular,2025-10-01T21:32:54.888993
TXN_3c1d4587,VN_ORDER_000008,VN_CUST_001462,2025-06-18 19:06:24,purchase,574.53,13788720.0,USD,Bank_Transfer,Paid,Tiki,Central,High_Value,2025-10-01T21:32:54.889119
TXN_1185d09d,VN_ORDER_000009,VN_CUST_000043,2025-09-20 19:06:24,purchase,604.48,14507532.0,USD,Bank_Transfer,Paid,Shopee,North,High_Value,2025-10-01T21:32:54.889233
TXN_ea161293,VN_ORDER_000009,VN_CUST_000043,2025-09-20 19:06:24,discount,-2.48,-59520.0,USD,Bank_Transfer,Paid,Shopee,North,High_Value,2025-10-01T21:32:54.889233
TXN_4f647827,VN_ORDER_000010,VN_CUST_002995,2025-06-27 19:06:24,purchase,894.47,21467293.0,USD,COD,Paid,Shopee,North,Regular,2025-10-01T21:32:54.889418
TXN_ccf04873,VN_ORDER_000010,VN_CUST_002995,2025-06-27 19:06:24,discount,-106.18,-2548320.0,USD,COD,Paid,Shopee,North,Regular,2025-10-01T21:32:54.889418
TXN_fb4833d1,VN_ORDER_000011,VN_CUST_000603,2025-05-22 19:06:24,purchase,6126.14,147027408.0,USD,COD,Paid,Shopee,North,Regular,2025-10-01T21:32:54.889514
TXN_584cb55c,VN_ORDER_000011,VN_CUST_000603,2025-05-22 19:06:24,shipping,0.0,0.0,USD,COD,Paid,Shopee,North,Regular,2025-10-01T21:32:54.889514
TXN_e13774e4,VN_ORDER_000012,VN_CUST_002100,2025-04-20 19:06:24,purchase,1816.02,43584552.0,USD,Credit_Card,Paid,Shopee,South,Regular,2025-10-01T21:32:54.889581
TXN_2d854f1b,VN_ORDER_000012,VN_CUST_002100,2025-04-20 19:06:24,shipping,0.0,0.0,USD,Credit_Card,Paid,Shopee,South,Regular,2025-10-01T21:32:54.889581
TXN_34850541,VN_ORDER_000013,VN_CUST_001354,2025-07-06 19:06:24,purchase,2493.19,59836656.0,USD,Bank_Transfer,Paid,Shopee,South,Regular,2025-10-01T21:32:54.889674
TXN_9dd1d598,VN_ORDER_000013,VN_CUST_001354,2025-07-06 19:06:24,shipping,0.0,0.0,USD,Bank_Transfer,Paid,Shopee,South,Regular,2025-10-01T21:32:54.889674
TXN_43d7929a,VN_ORDER_000014,VN_CUST_001556,2025-08-25 19:06:24,purchase,2042.36,49016616.0,USD,COD,Paid,Tiki,Central,Regular,2025-10-01T21:32:54.889765
TXN_e90abfc0,VN_ORDER_000014,VN_CUST_001556,2025-08-25 19:06:24,shipping,0.0,0.0,USD,COD,Paid,Tiki,Central,Regular,2025-10-01T21:32:54.889765
